,State,Year,1_Include the treatment of pain?,3_max_amount_prescription,3_1_max_amount_prescriptions_det,4_prescrib_duration,4_1_prescrib_duration_det,5_unprof_excessive_Rx,5_1_excess_Rx_factors,8_pracitioner_education,9_hc_facility_methods,10_integrative_care,11_individual_care,14_risk_benefit_before,16_PMPdata_submit,16_1_PMPdata_timeframe,17_data_other state PMP,18_PMP_pract_registration,19_prac_checkPMP,20_PMP_teach,21PMP_eval_outcomes,key2,Population,percent_male,percent_female,under_18,18-24,25-44,45-64,over_65,Mean_income,Unemployment_rate,County,FIPS County Code,Prescribing Rate,outcome1_avg,outcome2_med,outcome3_medbyyear
63,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12069,308002,0.483889715,0.516110285,0.200508438,0.070249544,0.211446679,0.260462594,0.257332745,59808,7.4,Lake,12069,87.7,0,0,0
64,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12043,12672,0.569444444,0.430555556,0.171559343,0.073863636,0.2578125,0.259548611,0.237215909,43249,7.4,Glades,12043,3.8,0,0,0
65,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12079,18761,0.526197964,0.473802036,0.202814349,0.091572944,0.248281008,0.281221683,0.176110015,43551,7.8,Madison,12079,84.2,0,0,0
66,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12033,306677,0.498906015,0.501093985,0.210224438,0.134313952,0.244716754,0.259011925,0.151732931,58570,7.2,Escambia,12033,128.9,0,0,0
67,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12123,22868,0.565550114,0.434449886,0.191271646,0.08614658,0.272389365,0.277593143,0.172599265,47769,7.8,Taylor,12123,129.6,1,0,1
68,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12001,252498,0.483488978,0.516511022,0.179593502,0.225605747,0.253253491,0.221063137,0.120484123,62061,5.7,Alachua,12001,77,0,0,0
69,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12013,14577,0.54606572,0.45393428,0.211566166,0.078891404,0.27413048,0.269191192,0.166220759,43352,7.9,Calhoun,12013,78.5,0,0,0
70,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12031,885975,0.484791332,0.515208668,0.229924095,0.099452016,0.285916646,0.261573972,0.123133271,65569,7.5,Duval,12031,98.2,0,0,0
71,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12081,341933,0.483091717,0.516908283,0.19837512,0.071209857,0.209622938,0.270693381,0.250098704,65293,6.7,Manatee,12081,84.9,1,0,1
72,FL,2013,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2013-12107,72362,0.494195849,0.505804151,0.218788867,0.081271938,0.207346397,0.286683618,0.205909179,45391,10.4,Putnam,12107,121.8,0,0,0
